"polstn","towdate","month","year","lat","lon","tribmarsh","region","loc","habitat","m_secchi","m_sal","m_doc","m_temp"
"NAPR 1",2015-07-17,"07","2015",38.26634,-122.286,"Napa River","North Bay","Napa River","Mainstem",67.5,19.15,2.19875,25.2
"NAPR 2",2015-02-14,"02","2015",38.25166,-122.29369,"Napa River","North Bay","Napa River","Mainstem",40,2.625,6.5275,14.325
"NAPR 2",2015-05-29,"05","2015",38.25166,-122.29369,"Napa River","North Bay","Napa River","Mainstem",83.5,18.65,3.4,19.3
"NAPR 2",2015-07-17,"07","2015",38.25166,-122.29369,"Napa River","North Bay","Napa River","Mainstem",67,20.775,7.15,24.2
"NAPR 3",2015-02-14,"02","2015",38.2269,-122.30267,"Napa River","North Bay","Napa River","Mainstem",32,6,5.8625,15.15
"NAPR 3",2015-07-17,"07","2015",38.2269,-122.30267,"Napa River","North Bay","Napa River","Mainstem",70,21.3,3.5925,23.95
"NAPR 4",2015-02-14,"02","2015",38.2139,-122.30888,"Napa River","North Bay","Napa River","Mainstem",45,7.725,5.69,16.25
"NAPR 4",2015-07-17,"07","2015",38.2139,-122.30888,"Napa River","North Bay","Napa River","Mainstem",70.5,22.1,3.3775,23.35
"NAPR 5",2015-02-14,"02","2015",38.19768,-122.31477,"Napa River","North Bay","Napa River","Mainstem",25,4.8,3.76666666666667,17.8
"NAPR 5",2015-07-17,"07","2015",38.19768,-122.31477,"Napa River","North Bay","Napa River","Mainstem",81.5,22.9,3.36,22.95
"NAPS 1",2015-02-14,"02","2015",38.18413,-122.32123,"Napa River","North Bay","Napa River","Mainstem",30,9.2,2.99,17.55
"NAPS 2",2015-02-14,"02","2015",38.19069,-122.32746,"Napa River","North Bay","Napa River","Mainstem",20,8.5,5.885,16.8
"NAPS 3",2015-02-14,"02","2015",38.191,-122.33732,"Napa River","North Bay","Napa River","Mainstem",26.5,7.75,5.485,17.325
"NAPS 4",2015-02-14,"02","2015",38.19001,-122.34489,"Napa River","North Bay","Napa River","Mainstem",25,7.1,2.735,17.9
"NB-100",2018-02-23,"02","2018",38.311988,-122.277715,"Napa River","North Bay","Napa River","Mainstem",113,0.886666666666667,11.2633333333333,9.32333333333333
"NB-1000",2019-05-30,"05","2019",38.105254,-122.486807,"San Pablo Bay","North Bay","San Pablo Bay","Open Bay",33.5,11.965,7.8625,19.9925
"NB-1001",2015-02-13,"02","2015",38.109853,-122.484802,"San Pablo Bay","North Bay","San Pablo Bay","Open Bay",35,13.5,5.9,15.55
"NB-1001",2016-02-05,"02","2016",38.109853,-122.484802,"San Pablo Bay","North Bay","San Pablo Bay","Open Bay",59,11.9,10.34,10.8
"NB-1001",2016-03-17,"03","2016",38.109853,-122.484802,"San Pablo Bay","North Bay","San Pablo Bay","Open Bay",38,7.6575,9.45,15.7125
"NB-1001",2016-06-03,"06","2016",38.109853,-122.484802,"San Pablo Bay","North Bay","San Pablo Bay","Open Bay",15.5,12.725,8.0625,22.425
"NB-1001",2017-01-11,"01","2017",38.109853,-122.484802,"San Pablo Bay","North Bay","San Pablo Bay","Open Bay",31,7.3,NA,11.9
"NB-1001",2017-03-06,"03","2017",38.109853,-122.484802,"San Pablo Bay","North Bay","San Pablo Bay","Open Bay",12.5,0.965,10.275,11.675
