polstn,pol,stn,stn_no,lat,lon,tribmarsh,region,loc,loc_code,habitat,tidesta,station_name
NB-1137,NB-1137,NA,NA,38.05473,-122.279834,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1138,NB-1138,NA,NA,38.039575,-122.490412,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1139,NB-1139,NA,NA,38.039981,-122.477507,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1140,NB-1140,NA,NA,38.040279,-122.463348,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1141,NB-1141,NA,NA,38.040536,-122.450995,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1142,NB-1142,NA,NA,38.040762,-122.439998,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1143,NB-1143,NA,NA,38.04103,-122.42683,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1144,NB-1144,NA,NA,38.041297,-122.413834,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1145,NB-1145,NA,NA,38.041544,-122.40159,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1146,NB-1146,NA,NA,38.041805,-122.388654,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1147,NB-1147,NA,NA,38.042081,-122.374878,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1148,NB-1148,NA,NA,38.042378,-122.359968,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1149,NB-1149,NA,NA,38.04266,-122.345794,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1150,NB-1150,NA,NA,38.042906,-122.333278,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1151,NB-1151,NA,NA,38.043156,-122.320547,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1152,NB-1152,NA,NA,38.04341,-122.307444,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1153,NB-1153,NA,NA,38.04365,-122.295096,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1154,NB-1154,NA,NA,38.043945,-122.280034,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1155,NB-1155,NA,NA,38.028612,-122.491119,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1156,NB-1156,NA,NA,38.028902,-122.477433,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1157,NB-1157,NA,NA,38.029216,-122.463242,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1158,NB-1158,NA,NA,38.029496,-122.45091,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1159,NB-1159,NA,NA,38.029738,-122.439942,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1160,NB-1160,NA,NA,38.030026,-122.426779,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1161,NB-1161,NA,NA,38.030314,-122.413783,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1162,NB-1162,NA,NA,38.03058,-122.401544,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1163,NB-1163,NA,NA,38.030861,-122.388607,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1164,NB-1164,NA,NA,38.031159,-122.374826,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1165,NB-1165,NA,NA,38.031479,-122.359908,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1166,NB-1166,NA,NA,38.031784,-122.345742,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1167,NB-1167,NA,NA,38.032049,-122.333231,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1168,NB-1168,NA,NA,38.032319,-122.320504,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1169,NB-1169,NA,NA,38.032593,-122.307402,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1170,NB-1170,NA,NA,38.032853,-122.295052,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1171,NB-1171,NA,NA,38.03301,-122.281787,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1172,NB-1172,NA,NA,38.017517,-122.490468,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1173,NB-1173,NA,NA,38.014544,-122.477169,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1174,NB-1174,NA,NA,38.018595,-122.463178,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1175,NB-1175,NA,NA,38.018862,-122.450817,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1176,NB-1176,NA,NA,38.019106,-122.439871,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1177,NB-1177,NA,NA,38.019395,-122.426731,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1178,NB-1178,NA,NA,38.019687,-122.413731,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1179,NB-1179,NA,NA,38.019961,-122.401483,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1180,NB-1180,NA,NA,38.020253,-122.388543,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1181,NB-1181,NA,NA,38.020559,-122.37476,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1182,NB-1182,NA,NA,38.017278,-122.359596,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1183,NB-1183,NA,NA,38.020912,-122.345688,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1184,NB-1184,NA,NA,38.021191,-122.333186,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1185,NB-1185,NA,NA,38.021478,-122.320447,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1186,NB-1186,NA,NA,38.018627,-122.307335,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1187,NB-1187,NA,NA,38.020373,-122.291701,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1188,NB-1188,NA,NA,38.00942,-122.463115,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1189,NB-1189,NA,NA,38.009555,-122.450743,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1190,NB-1190,NA,NA,38.009692,-122.439787,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1191,NB-1191,NA,NA,38.009859,-122.426671,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1192,NB-1192,NA,NA,38.010016,-122.413683,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1193,NB-1193,NA,NA,38.010169,-122.401409,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1194,NB-1194,NA,NA,38.010332,-122.388455,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1195,NB-1195,NA,NA,38.01052,-122.37472,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1196,NB-1196,NA,NA,38.009634,-122.345364,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1197,NB-1197,NA,NA,38.008823,-122.333187,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1198,NB-1198,NA,NA,38.010859,-122.320997,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1199,NB-1199,NA,NA,38.001477,-122.461599,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-120,NB-120,NA,NA,38.302372,-122.280291,Napa River,North Bay,Napa River,NPR,Mainstem,"NAPA, NAPA RIVER",9415623
NB-1200,NB-1200,NA,NA,38.000003,-122.450656,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1201,NB-1201,NA,NA,38.000054,-122.439725,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1202,NB-1202,NA,NA,38.000113,-122.426596,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1203,NB-1203,NA,NA,38.000182,-122.41361,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1204,NB-1204,NA,NA,38.000244,-122.401381,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1205,NB-1205,NA,NA,38.000302,-122.388441,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1206,NB-1206,NA,NA,38.000251,-122.372704,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1207,NB-1207,NA,NA,37.991236,-122.449394,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1208,NB-1208,NA,NA,37.990677,-122.439632,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1209,NB-1209,NA,NA,37.990753,-122.426493,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1210,NB-1210,NA,NA,37.990837,-122.413467,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1211,NB-1211,NA,NA,37.990913,-122.401314,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1212,NB-1212,NA,NA,37.990988,-122.388468,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1213,NB-1213,NA,NA,37.991095,-122.371066,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1214,NB-1214,NA,NA,37.980817,-122.468239,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1215,NB-1215,NA,NA,37.981123,-122.452825,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1216,NB-1216,NA,NA,37.981957,-122.439557,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1217,NB-1217,NA,NA,37.981991,-122.426427,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1218,NB-1218,NA,NA,37.982019,-122.413353,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1219,NB-1219,NA,NA,37.982049,-122.40123,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1220,NB-1220,NA,NA,37.982077,-122.388463,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1221,NB-1221,NA,NA,37.982318,-122.372735,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1222,NB-1222,NA,NA,37.971313,-122.477466,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1223,NB-1223,NA,NA,37.971779,-122.453739,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1224,NB-1224,NA,NA,37.971749,-122.439503,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1225,NB-1225,NA,NA,37.971708,-122.426371,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1226,NB-1226,NA,NA,37.971668,-122.413268,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1227,NB-1227,NA,NA,37.971736,-122.40125,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1228,NB-1228,NA,NA,37.973692,-122.389103,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1229,NB-1229,NA,NA,37.961065,-122.486625,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1230,NB-1230,NA,NA,37.960945,-122.471635,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1231,NB-1231,NA,NA,37.960985,-122.453823,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1232,NB-1232,NA,NA,37.960979,-122.439462,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1233,NB-1233,NA,NA,37.960944,-122.427518,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1234,NB-1234,NA,NA,37.951078,-122.485031,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1235,NB-1235,NA,NA,37.950795,-122.471813,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1236,NB-1236,NA,NA,37.950863,-122.45388,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1237,NB-1237,NA,NA,37.950926,-122.439391,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1238,NB-1238,NA,NA,37.951001,-122.426567,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
NB-1239,NB-1239,NA,NA,37.941471,-122.471878,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1240,NB-1240,NA,NA,37.941625,-122.453946,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1241,NB-1241,NA,NA,37.941729,-122.439344,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1242,NB-1242,NA,NA,37.941812,-122.426208,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1243,NB-1243,NA,NA,37.941731,-122.415045,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1244,NB-1244,NA,NA,37.932959,-122.493156,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1245,NB-1245,NA,NA,37.933074,-122.4722,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1246,NB-1246,NA,NA,37.933211,-122.453992,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1247,NB-1247,NA,NA,37.933325,-122.439289,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1248,NB-1248,NA,NA,37.933451,-122.426116,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1249,NB-1249,NA,NA,37.933151,-122.41357,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1250,NB-1250,NA,NA,37.924297,-122.492888,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1251,NB-1251,NA,NA,37.92364,-122.472426,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1252,NB-1252,NA,NA,37.923801,-122.454066,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1253,NB-1253,NA,NA,37.923942,-122.439246,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1254,NB-1254,NA,NA,37.924034,-122.426084,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1255,NB-1255,NA,NA,37.924168,-122.412882,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1256,NB-1256,NA,NA,37.924243,-122.400748,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1257,NB-1257,NA,NA,37.913354,-122.471103,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1258,NB-1258,NA,NA,37.913328,-122.454131,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1259,NB-1259,NA,NA,37.913527,-122.439187,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1260,NB-1260,NA,NA,37.913691,-122.426042,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1261,NB-1261,NA,NA,37.913856,-122.412794,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1262,NB-1262,NA,NA,37.91401,-122.400627,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1263,NB-1263,NA,NA,37.914333,-122.390964,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1264,NB-1264,NA,NA,37.90364,-122.469246,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1265,NB-1265,NA,NA,37.90327,-122.454185,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1266,NB-1266,NA,NA,37.903444,-122.439127,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1267,NB-1267,NA,NA,37.903594,-122.425978,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1268,NB-1268,NA,NA,37.90374,-122.412706,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1269,NB-1269,NA,NA,37.903877,-122.400532,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1270,NB-1270,NA,NA,37.903976,-122.388049,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1271,NB-1271,NA,NA,37.903737,-122.375469,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1272,NB-1272,NA,NA,37.910629,-122.364892,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1273,NB-1273,NA,NA,37.906479,-122.348797,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1274,NB-1274,NA,NA,37.905457,-122.329726,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1275,NB-1275,NA,NA,37.8948,-122.454205,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1276,NB-1276,NA,NA,37.893714,-122.439077,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1277,NB-1277,NA,NA,37.893832,-122.425927,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1278,NB-1278,NA,NA,37.89395,-122.412629,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1279,NB-1279,NA,NA,37.894059,-122.400447,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1280,NB-1280,NA,NA,37.894168,-122.387974,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1281,NB-1281,NA,NA,37.894275,-122.375174,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1282,NB-1282,NA,NA,37.894245,-122.362668,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1283,NB-1283,NA,NA,37.894418,-122.348024,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1284,NB-1284,NA,NA,37.894539,-122.325794,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1285,NB-1285,NA,NA,37.88343,-122.438446,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1286,NB-1286,NA,NA,37.883394,-122.425859,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1287,NB-1287,NA,NA,37.883454,-122.412536,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1288,NB-1288,NA,NA,37.883512,-122.400348,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1289,NB-1289,NA,NA,37.88357,-122.387909,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
NB-1290,NB-1290,NA,NA,37.883622,-122.375109,Central San Francisco Bay,Central Bay,Central Bay,CBY,Open Bay,"ANGEL ISLAND, EAST GARRISON, S.F. Bay",9414818
